model	sample_id	image_id	t_star	t_bad
blip2	0	1	10	12
blip2	0	2	8	11
blip2	0	3	2	3
blip2	0	3	2	9
blip2	0	3	2	10
blip2	0	4	5	6
blip2	0	4	5	9
blip2	0	4	5	10
blip2	0	4	5	12
blip2	0	5	7	8
blip2	0	5	7	11
blip2	1	1	4	6
blip2	1	2	4	6
blip2	1	2	4	7
blip2	1	2	4	10
blip2	1	2	4	11
blip2	1	3	1	4
blip2	1	3	1	6
blip2	1	3	1	11
blip2	1	4	3	4
blip2	1	4	3	6
blip2	1	4	3	7
blip2	1	4	3	10
blip2	1	4	3	11
blip2	2	1	1	2
blip2	2	1	1	10
blip2	2	1	1	11
blip2	2	1	1	12
blip2	2	1	1	13
blip2	2	1	1	15
blip2	2	1	1	17
blip2	2	2	5	6
blip2	2	2	5	10
blip2	2	2	5	11
blip2	2	2	5	12
blip2	2	2	5	13
blip2	2	2	5	15
blip2	2	2	5	17
blip2	2	3	7	10
blip2	2	3	7	11
blip2	2	3	7	12
blip2	2	3	7	13
blip2	2	3	7	15
blip2	2	3	7	17
blip2	3	1	2	13
blip2	3	1	2	14
blip2	3	1	2	16
blip2	3	1	2	17
blip2	3	2	5	14
blip2	3	2	5	16
blip2	3	2	5	17
blip2	3	3	7	9
blip2	3	3	7	13
blip2	3	3	7	14
blip2	3	3	7	15
blip2	3	3	7	16
blip2	3	3	7	19
blip2	3	3	7	20
blip2	3	4	10	11
blip2	3	4	10	12
blip2	3	4	10	13
blip2	3	4	10	15
blip2	3	4	10	17
blip2	3	4	10	19
blip2	3	4	10	20
blip2	4	1	1	3
blip2	4	1	1	7
blip2	4	1	1	8
blip2	4	1	1	9
blip2	4	1	1	10
blip2	4	1	1	11
blip2	4	2	5	6
blip2	4	2	5	8
blip2	4	2	5	9
blip2	4	2	5	10
blip2	4	2	5	11
blip2	5	1	2	3
blip2	5	1	2	7
blip2	5	1	2	8
blip2	5	1	2	9
blip2	5	1	2	10
blip2	5	1	2	11
blip2	5	1	2	12
blip2	5	1	2	13
blip2	5	1	2	14
blip2	5	1	2	15
blip2	5	1	2	16
blip2	5	2	7	8
blip2	5	2	7	9
blip2	5	2	7	10
blip2	5	2	7	11
blip2	5	2	7	12
blip2	5	2	7	13
blip2	5	2	7	14
blip2	5	2	7	15
blip2	5	2	7	16
blip2	6	1	2	3
blip2	6	1	2	7
blip2	6	1	2	8
blip2	6	1	2	9
blip2	6	1	2	10
blip2	6	1	2	11
blip2	6	1	2	12
blip2	6	1	2	13
blip2	6	1	2	14
blip2	6	1	2	15
blip2	6	2	5	6
blip2	6	2	5	7
blip2	6	2	5	8
blip2	6	2	5	9
blip2	6	2	5	10
blip2	6	2	5	11
blip2	6	2	5	12
blip2	6	2	5	13
blip2	6	2	5	14
blip2	6	2	5	15
blip2	7	1	1	2
blip2	7	1	1	7
blip2	7	1	1	8
blip2	7	1	1	9
blip2	7	1	1	10
blip2	7	1	1	11
blip2	7	1	1	12
blip2	7	1	1	13
blip2	7	1	1	14
blip2	7	1	1	15
blip2	7	1	1	16
blip2	7	2	5	6
blip2	7	2	5	7
blip2	7	2	5	8
blip2	7	2	5	9
blip2	7	2	5	10
blip2	7	2	5	11
blip2	7	2	5	12
blip2	7	2	5	13
blip2	7	2	5	14
blip2	7	2	5	15
blip2	7	2	5	16
blip2	8	1	1	2
blip2	8	1	1	13
blip2	8	1	1	15
blip2	8	1	1	17
blip2	8	1	1	18
blip2	8	1	1	20
blip2	8	2	14	15
blip2	8	2	14	17
blip2	8	2	14	18
blip2	8	2	14	19
blip2	8	3	8	14
blip2	8	3	8	16
blip2	8	3	8	19
blip2	8	3	8	20
blip2	8	4	10	12
blip2	8	4	10	13
blip2	8	4	10	15
blip2	8	4	10	16
blip2	8	4	10	17
blip2	8	4	10	20
blip2	10	1	7	8
blip2	10	1	7	9
blip2	10	1	7	10
blip2	10	1	7	12
blip2	10	1	7	15
blip2	10	1	7	16
blip2	10	2	6	7
blip2	10	2	6	8
blip2	10	2	6	9
blip2	10	2	6	10
blip2	10	2	6	12
blip2	10	2	6	15
blip2	10	2	6	16
blip2	11	1	2	3
blip2	11	1	2	7
blip2	11	1	2	9
blip2	11	1	2	10
blip2	11	1	2	11
blip2	11	1	2	12
blip2	11	1	2	16
blip2	11	2	4	5
blip2	11	2	4	6
blip2	11	2	4	7
blip2	11	2	4	9
blip2	11	2	4	10
blip2	11	2	4	11
blip2	11	2	4	12
blip2	11	2	4	16
blip2	12	1	7	8
blip2	12	1	7	9
blip2	12	1	7	10
blip2	12	1	7	11
blip2	12	1	7	12
blip2	12	1	7	14
blip2	12	1	7	15
blip2	12	2	5	6
blip2	12	2	5	7
blip2	12	2	5	9
blip2	12	2	5	10
blip2	12	2	5	11
blip2	12	2	5	12
blip2	12	2	5	14
blip2	12	2	5	15
blip2	13	1	2	3
blip2	13	1	2	14
blip2	13	1	2	15
blip2	13	1	2	17
blip2	13	1	2	18
blip2	13	2	16	18
blip2	13	3	13	16
blip2	13	3	13	18
blip2	13	4	13	14
blip2	13	4	13	15
blip2	13	4	13	16
blip2	13	4	13	17
blip2	14	1	1	3
blip2	14	1	1	4
blip2	14	1	1	5
blip2	14	1	1	6
blip2	14	1	1	8
blip2	14	1	1	9
blip2	14	1	1	10
blip2	14	1	1	11
blip2	14	1	1	12
blip2	14	2	4	5
blip2	14	2	4	6
blip2	14	2	4	8
blip2	14	2	4	9
blip2	14	2	4	10
blip2	14	2	4	11
blip2	14	2	4	12
blip2	15	1	1	2
blip2	15	1	1	3
blip2	15	1	1	13
blip2	15	1	1	15
blip2	15	1	1	16
blip2	15	1	1	20
blip2	15	2	13	14
blip2	15	2	13	19
blip2	15	3	7	8
blip2	15	3	7	9
blip2	15	3	7	13
blip2	15	3	7	15
blip2	15	3	7	18
blip2	15	3	7	20
blip2	15	4	10	11
blip2	15	4	10	12
blip2	15	4	10	13
blip2	15	4	10	14
blip2	15	4	10	15
blip2	15	4	10	16
blip2	15	4	10	18
blip2	15	4	10	19
blip2	16	1	1	7
blip2	16	1	1	9
blip2	16	1	1	12
blip2	16	1	1	14
blip2	16	1	1	15
blip2	16	1	1	16
blip2	16	2	4	6
blip2	16	2	4	7
blip2	16	2	4	9
blip2	16	2	4	12
blip2	16	2	4	14
blip2	16	2	4	15
blip2	16	2	4	16
blip2	17	1	2	7
blip2	17	1	2	8
blip2	17	1	2	9
blip2	17	1	2	10
blip2	17	1	2	12
blip2	17	1	2	13
blip2	17	1	2	14
blip2	17	1	2	15
blip2	17	2	7	8
blip2	17	2	7	9
blip2	17	2	7	10
blip2	17	2	7	12
blip2	17	2	7	13
blip2	17	2	7	14
blip2	17	2	7	15
blip2	18	1	1	2
blip2	18	1	1	3
blip2	18	1	1	10
blip2	18	1	1	11
blip2	18	1	1	12
blip2	18	1	1	13
blip2	18	1	1	14
blip2	18	1	1	15
blip2	18	1	1	16
blip2	18	2	4	5
blip2	18	2	4	6
blip2	18	2	4	10
blip2	18	2	4	11
blip2	18	2	4	12
blip2	18	2	4	13
blip2	18	2	4	14
blip2	18	2	4	15
blip2	18	2	4	16
blip2	18	3	7	10
blip2	18	3	7	11
blip2	18	3	7	12
blip2	18	3	7	13
blip2	18	3	7	14
blip2	18	3	7	15
blip2	18	3	7	16
blip2	19	1	1	2
blip2	19	1	1	4
blip2	19	1	1	5
blip2	19	1	1	6
blip2	19	1	1	7
blip2	19	1	1	9
blip2	19	1	1	10
blip2	19	2	1	2
blip2	19	2	1	4
blip2	19	2	1	5
blip2	19	2	1	6
blip2	19	2	1	7
blip2	19	2	1	9
blip2	19	2	1	10
blip2	20	1	1	2
blip2	20	1	1	3
blip2	20	1	1	10
blip2	20	1	1	11
blip2	20	1	1	12
blip2	20	1	1	13
blip2	20	1	1	14
blip2	20	1	1	16
blip2	20	1	1	18
blip2	20	2	5	6
blip2	20	2	5	10
blip2	20	2	5	11
blip2	20	2	5	12
blip2	20	2	5	13
blip2	20	2	5	14
blip2	20	2	5	16
blip2	20	3	8	10
blip2	20	3	8	11
blip2	20	3	8	12
blip2	20	3	8	13
blip2	20	3	8	14
blip2	20	3	8	16
blip2	20	3	8	18
blip2	21	1	1	2
blip2	21	1	1	7
blip2	21	1	1	8
blip2	21	1	1	9
blip2	21	1	1	10
blip2	21	1	1	11
blip2	21	1	1	13
blip2	21	1	1	14
blip2	21	1	1	15
blip2	21	2	5	6
blip2	21	2	5	7
blip2	21	2	5	8
blip2	21	2	5	9
blip2	21	2	5	10
blip2	21	2	5	11
blip2	21	2	5	13
blip2	21	2	5	14
blip2	21	2	5	15
blip2	22	1	1	2
blip2	22	1	1	3
blip2	22	1	1	7
blip2	22	1	1	8
blip2	22	1	1	9
blip2	22	1	1	12
blip2	22	1	1	14
blip2	22	2	6	7
blip2	22	2	6	8
blip2	22	2	6	9
blip2	22	2	6	12
blip2	22	2	6	14
blip2	23	1	1	3
blip2	23	1	1	10
blip2	23	1	1	11
blip2	23	1	1	12
blip2	23	1	1	13
blip2	23	1	1	14
blip2	23	1	1	16
blip2	23	1	1	17
blip2	23	1	1	18
blip2	23	1	1	19
blip2	23	2	4	6
blip2	23	2	4	10
blip2	23	2	4	11
blip2	23	2	4	12
blip2	23	2	4	13
blip2	23	2	4	14
blip2	23	2	4	16
blip2	23	2	4	17
blip2	23	2	4	18
blip2	23	2	4	19
blip2	23	3	9	10
blip2	23	3	9	11
blip2	23	3	9	12
blip2	23	3	9	13
blip2	23	3	9	14
blip2	23	3	9	16
blip2	23	3	9	17
blip2	23	3	9	18
blip2	23	3	9	19
blip2	24	1	1	2
blip2	24	1	1	3
blip2	24	1	1	4
blip2	24	1	1	5
blip2	24	1	1	6
blip2	24	1	1	7
blip2	24	1	1	9
blip2	24	2	1	2
blip2	24	2	1	3
blip2	24	2	1	4
blip2	24	2	1	5
blip2	24	2	1	6
blip2	24	2	1	7
blip2	24	2	1	9
blip2	25	1	1	8
blip2	25	2	2	3
blip2	25	2	2	4
blip2	25	2	2	8
blip2	25	3	5	6
blip2	25	3	5	7
blip2	25	3	5	8
blip2	26	1	1	3
blip2	26	1	1	7
blip2	26	1	1	8
blip2	26	1	1	9
blip2	26	1	1	10
blip2	26	1	1	11
blip2	26	1	1	12
blip2	26	1	1	13
blip2	26	2	6	7
blip2	26	2	6	8
blip2	26	2	6	9
blip2	26	2	6	10
blip2	26	2	6	11
blip2	26	2	6	12
blip2	26	2	6	13
blip2	26	3	7	8
blip2	26	3	7	9
blip2	26	3	7	10
blip2	26	3	7	11
blip2	26	3	7	12
blip2	26	3	7	13
blip2	27	1	1	2
blip2	27	1	1	3
blip2	27	1	1	7
blip2	27	1	1	8
blip2	27	1	1	9
blip2	27	1	1	10
blip2	27	1	1	11
blip2	27	1	1	12
blip2	27	1	1	14
blip2	27	1	1	15
blip2	27	1	1	16
blip2	27	1	1	17
blip2	27	2	4	6
blip2	27	2	4	7
blip2	27	2	4	8
blip2	27	2	4	9
blip2	27	2	4	10
blip2	27	2	4	11
blip2	27	2	4	12
blip2	27	2	4	14
blip2	27	2	4	15
blip2	27	2	4	16
blip2	27	2	4	17
blip2	28	1	1	2
blip2	28	1	1	3
blip2	28	1	1	16
blip2	28	1	1	20
blip2	28	2	4	6
blip2	28	2	4	17
blip2	28	2	4	18
blip2	28	3	7	16
blip2	28	3	7	18
blip2	28	3	7	19
blip2	28	4	11	12
blip2	28	4	11	17
blip2	28	4	11	18
blip2	28	4	11	19
blip2	28	5	14	17
blip2	28	5	14	19
blip2	28	5	14	20
blip2	29	1	3	6
blip2	29	1	3	8
blip2	29	1	3	9
blip2	29	1	3	10
blip2	29	2	3	6
blip2	29	2	3	8
blip2	29	2	3	9
blip2	29	2	3	10
blip2	30	1	8	10
blip2	30	1	8	11
blip2	30	1	8	12
blip2	30	2	4	8
blip2	30	2	4	9
blip2	30	2	4	11
blip2	30	2	4	12
blip2	30	2	4	13
blip2	30	3	6	7
blip2	30	3	6	8
blip2	30	3	6	9
blip2	30	3	6	10
blip2	30	3	6	12
blip2	30	3	6	13
blip2	31	1	13	16
blip2	31	2	2	14
blip2	31	3	4	15
blip2	31	3	4	16
blip2	31	3	4	17
blip2	31	4	9	15
blip2	31	4	9	17
blip2	31	5	10	11
blip2	31	5	10	13
blip2	31	5	10	14
blip2	31	5	10	15
blip2	31	5	10	16
blip2	32	1	1	3
blip2	32	1	1	16
blip2	32	1	1	19
blip2	32	2	5	16
blip2	32	2	5	17
blip2	32	3	8	17
blip2	32	3	8	19
blip2	32	3	8	20
blip2	32	4	10	11
blip2	32	4	10	17
blip2	32	4	10	20
blip2	32	5	15	16
blip2	32	5	15	19
blip2	32	5	15	20
blip2	33	1	13	14
blip2	33	1	13	16
blip2	33	1	13	17
blip2	33	1	13	18
blip2	33	1	13	20
blip2	33	2	13	15
blip2	33	2	13	16
blip2	33	2	13	17
blip2	33	2	13	18
blip2	33	2	13	19
blip2	33	3	7	8
blip2	33	3	7	9
blip2	33	3	7	13
blip2	33	3	7	15
blip2	33	3	7	16
blip2	33	3	7	18
blip2	33	3	7	19
blip2	33	4	10	11
blip2	33	4	10	13
blip2	33	4	10	14
blip2	33	4	10	15
blip2	33	4	10	16
blip2	33	4	10	18
blip2	33	4	10	20
blip2	34	1	1	2
blip2	34	1	1	3
blip2	34	1	1	4
blip2	34	1	1	5
blip2	34	1	1	6
blip2	34	1	1	7
blip2	34	1	1	8
blip2	34	1	1	9
blip2	34	1	1	10
blip2	34	2	1	2
blip2	34	2	1	3
blip2	34	2	1	4
blip2	34	2	1	5
blip2	34	2	1	6
blip2	34	2	1	7
blip2	34	2	1	8
blip2	34	2	1	9
blip2	34	2	1	10
blip2	35	1	1	6
blip2	35	1	1	7
blip2	35	1	1	8
blip2	35	1	1	9
blip2	35	1	1	10
blip2	35	1	1	11
blip2	35	1	1	12
blip2	35	1	1	13
blip2	35	1	1	14
blip2	35	1	1	15
blip2	35	2	3	4
blip2	35	2	3	6
blip2	35	2	3	7
blip2	35	2	3	8
blip2	35	2	3	9
blip2	35	2	3	10
blip2	35	2	3	11
blip2	35	2	3	12
blip2	35	2	3	13
blip2	35	2	3	14
blip2	35	2	3	15
blip2	36	1	1	2
blip2	36	1	1	3
blip2	36	1	1	4
blip2	36	1	1	5
blip2	36	1	1	6
blip2	36	1	1	7
blip2	36	1	1	8
blip2	36	1	1	9
blip2	36	1	1	10
blip2	36	2	1	2
blip2	36	2	1	3
blip2	36	2	1	4
blip2	36	2	1	5
blip2	36	2	1	6
blip2	36	2	1	7
blip2	36	2	1	8
blip2	36	2	1	9
blip2	36	2	1	10
blip2	37	1	2	14
blip2	37	1	2	15
blip2	37	1	2	19
blip2	37	1	2	20
blip2	37	2	14	16
blip2	37	2	14	18
blip2	37	3	5	6
blip2	37	3	5	7
blip2	37	3	5	15
blip2	37	3	5	17
blip2	37	3	5	20
blip2	37	4	8	9
blip2	37	4	8	10
blip2	37	4	8	14
blip2	37	4	8	16
blip2	37	4	8	18
blip2	37	5	16	17
blip2	37	5	16	19
blip2	37	5	16	20
blip2	38	1	1	2
blip2	38	1	1	3
blip2	38	1	1	5
blip2	38	1	1	6
blip2	38	1	1	7
blip2	38	1	1	8
blip2	38	1	1	9
blip2	38	1	1	10
blip2	38	2	1	2
blip2	38	2	1	3
blip2	38	2	1	5
blip2	38	2	1	6
blip2	38	2	1	7
blip2	38	2	1	8
blip2	38	2	1	9
blip2	38	2	1	10
blip2	39	1	2	3
blip2	39	1	2	17
blip2	39	1	2	18
blip2	39	2	4	16
blip2	39	2	4	19
blip2	39	2	4	20
blip2	39	3	8	9
blip2	39	3	8	16
blip2	39	3	8	17
blip2	39	3	8	18
blip2	39	4	11	16
blip2	39	4	11	19
blip2	39	4	11	20
blip2	39	5	13	14
blip2	39	5	13	15
blip2	39	5	13	17
blip2	39	5	13	20
blip2	40	1	1	2
blip2	40	1	1	16
blip2	40	1	1	17
blip2	40	1	1	18
blip2	40	2	4	5
blip2	40	2	4	15
blip2	40	2	4	17
blip2	40	2	4	19
blip2	40	2	4	20
blip2	40	3	6	7
blip2	40	3	6	8
blip2	40	3	6	15
blip2	40	3	6	18
blip2	40	4	9	10
blip2	40	4	9	11
blip2	40	4	9	15
blip2	40	4	9	16
blip2	40	4	9	17
blip2	40	4	9	18
blip2	40	4	9	19
blip2	40	4	9	20
blip2	40	5	14	15
blip2	40	5	14	17
blip2	40	5	14	18
blip2	40	5	14	20
blip2	41	1	1	3
blip2	41	1	1	7
blip2	41	1	1	8
blip2	41	1	1	9
blip2	41	1	1	10
blip2	41	1	1	11
blip2	41	1	1	12
blip2	41	1	1	13
blip2	41	1	1	14
blip2	41	1	1	15
blip2	41	1	1	16
blip2	41	2	4	5
blip2	41	2	4	6
blip2	41	2	4	7
blip2	41	2	4	8
blip2	41	2	4	9
blip2	41	2	4	10
blip2	41	2	4	11
blip2	41	2	4	12
blip2	41	2	4	13
blip2	41	2	4	14
blip2	41	2	4	15
blip2	41	2	4	16
blip2	42	1	1	2
blip2	42	1	1	3
blip2	42	1	1	5
blip2	42	1	1	6
blip2	42	1	1	7
blip2	42	1	1	8
blip2	42	1	1	9
blip2	42	1	1	10
blip2	42	1	1	11
blip2	42	1	1	12
blip2	42	1	1	13
blip2	42	1	1	14
blip2	42	1	1	15
blip2	42	1	1	16
blip2	42	1	1	17
blip2	42	1	1	18
blip2	42	1	1	19
blip2	42	2	5	6
blip2	42	2	5	7
blip2	42	2	5	8
blip2	42	2	5	9
blip2	42	2	5	10
blip2	42	2	5	11
blip2	42	2	5	12
blip2	42	2	5	13
blip2	42	2	5	14
blip2	42	2	5	15
blip2	42	2	5	16
blip2	42	2	5	17
blip2	42	2	5	18
blip2	42	2	5	19
blip2	43	1	1	3
blip2	43	1	1	7
blip2	43	1	1	8
blip2	43	1	1	10
blip2	43	1	1	11
blip2	43	1	1	12
blip2	43	1	1	13
blip2	43	1	1	15
blip2	43	1	1	16
blip2	43	2	4	5
blip2	43	2	4	6
blip2	43	2	4	7
blip2	43	2	4	8
blip2	43	2	4	10
blip2	43	2	4	11
blip2	43	2	4	12
blip2	43	2	4	13
blip2	43	2	4	15
blip2	43	2	4	16
blip2	44	1	1	2
blip2	44	1	1	3
blip2	44	1	1	4
blip2	44	1	1	5
blip2	44	1	1	6
blip2	44	1	1	7
blip2	44	1	1	8
blip2	44	1	1	9
blip2	44	2	1	2
blip2	44	2	1	3
blip2	44	2	1	4
blip2	44	2	1	5
blip2	44	2	1	6
blip2	44	2	1	7
blip2	44	2	1	8
blip2	44	2	1	9
blip2	44	3	1	2
blip2	44	3	1	3
blip2	44	3	1	4
blip2	44	3	1	5
blip2	44	3	1	6
blip2	44	3	1	7
blip2	44	3	1	8
blip2	44	3	1	9
blip2	45	2	5	6
blip2	45	2	5	13
blip2	45	3	9	13
blip2	45	4	10	11
blip2	45	4	10	12
blip2	45	4	10	13
blip2	46	1	1	2
blip2	46	1	1	3
blip2	46	1	1	4
blip2	46	1	1	5
blip2	46	2	1	2
blip2	46	2	1	3
blip2	46	2	1	4
blip2	46	2	1	5
blip2	46	3	1	2
blip2	46	3	1	3
blip2	46	3	1	4
blip2	46	3	1	5
blip2	46	4	1	2
blip2	46	4	1	3
blip2	46	4	1	4
blip2	46	4	1	5
blip2	47	1	1	2
blip2	47	1	1	3
blip2	47	1	1	8
blip2	47	1	1	9
blip2	47	1	1	10
blip2	47	2	4	5
blip2	47	2	4	6
blip2	47	2	4	8
blip2	47	2	4	9
blip2	47	2	4	10
blip2	48	1	1	3
blip2	48	1	1	10
blip2	48	1	1	11
blip2	48	1	1	12
blip2	48	1	1	13
blip2	48	1	1	14
blip2	48	1	1	15
blip2	48	1	1	16
blip2	48	1	1	17
blip2	48	1	1	18
blip2	48	1	1	19
blip2	48	2	4	5
blip2	48	2	4	6
blip2	48	2	4	10
blip2	48	2	4	11
blip2	48	2	4	12
blip2	48	2	4	13
blip2	48	2	4	14
blip2	48	2	4	15
blip2	48	2	4	16
blip2	48	2	4	17
blip2	48	2	4	18
blip2	48	2	4	19
blip2	48	3	7	8
blip2	48	3	7	9
blip2	48	3	7	10
blip2	48	3	7	11
blip2	48	3	7	12
blip2	48	3	7	13
blip2	48	3	7	14
blip2	48	3	7	15
blip2	48	3	7	16
blip2	48	3	7	17
blip2	48	3	7	18
blip2	48	3	7	19
blip2	49	1	2	13
blip2	49	1	2	14
blip2	49	1	2	15
blip2	49	1	2	16
blip2	49	1	2	18
blip2	49	1	2	20
blip2	49	2	4	5
blip2	49	2	4	6
blip2	49	2	4	13
blip2	49	2	4	14
blip2	49	2	4	16
blip2	49	2	4	17
blip2	49	2	4	18
blip2	49	2	4	19
blip2	49	3	7	8
blip2	49	3	7	9
blip2	49	3	7	13
blip2	49	3	7	15
blip2	49	3	7	16
blip2	49	3	7	20
blip2	49	4	10	11
blip2	49	4	10	13
blip2	49	4	10	15
blip2	49	4	10	17
blip2	49	4	10	19
blip2	50	1	1	2
blip2	50	1	1	3
blip2	50	1	1	4
blip2	50	1	1	6
blip2	50	1	1	7
blip2	50	1	1	8
blip2	50	1	1	9
blip2	50	2	1	2
blip2	50	2	1	3
blip2	50	2	1	4
blip2	50	2	1	6
blip2	50	2	1	7
blip2	50	2	1	8
blip2	50	2	1	9
blip2	51	1	1	2
blip2	51	1	1	3
blip2	51	1	1	7
blip2	51	1	1	8
blip2	51	1	1	9
blip2	51	1	1	10
blip2	51	1	1	11
blip2	51	1	1	12
blip2	51	1	1	14
blip2	51	1	1	15
blip2	51	1	1	16
blip2	51	2	5	7
blip2	51	2	5	8
blip2	51	2	5	9
blip2	51	2	5	10
blip2	51	2	5	11
blip2	51	2	5	12
blip2	51	2	5	14
blip2	51	2	5	15
blip2	51	2	5	16
blip2	52	1	3	5
blip2	52	1	3	6
blip2	52	1	3	7
blip2	52	1	3	8
blip2	52	1	3	9
blip2	52	1	3	11
blip2	52	1	3	12
blip2	52	1	3	13
blip2	52	1	3	14
blip2	52	2	5	6
blip2	52	2	5	7
blip2	52	2	5	8
blip2	52	2	5	9
blip2	52	2	5	11
blip2	52	2	5	12
blip2	52	2	5	13
blip2	52	2	5	14
blip2	53	1	1	2
blip2	53	1	1	4
blip2	53	1	1	5
blip2	53	1	1	7
blip2	53	1	1	8
blip2	53	2	1	2
blip2	53	2	1	4
blip2	53	2	1	5
blip2	53	2	1	7
blip2	53	2	1	8
blip2	54	1	1	2
blip2	54	1	1	3
blip2	54	1	1	7
blip2	54	1	1	8
blip2	54	1	1	9
blip2	54	1	1	10
blip2	54	1	1	11
blip2	54	1	1	13
blip2	54	1	1	14
blip2	54	1	1	15
blip2	54	2	4	5
blip2	54	2	4	6
blip2	54	2	4	7
blip2	54	2	4	8
blip2	54	2	4	9
blip2	54	2	4	10
blip2	54	2	4	11
blip2	54	2	4	13
blip2	54	2	4	14
blip2	54	2	4	15
blip2	55	1	1	3
blip2	55	1	1	10
blip2	55	1	1	11
blip2	55	1	1	12
blip2	55	1	1	13
blip2	55	1	1	15
blip2	55	1	1	16
blip2	55	1	1	18
blip2	55	2	6	10
blip2	55	2	6	11
blip2	55	2	6	12
blip2	55	2	6	13
blip2	55	2	6	15
blip2	55	2	6	16
blip2	55	2	6	18
blip2	55	3	7	9
blip2	55	3	7	10
blip2	55	3	7	11
blip2	55	3	7	12
blip2	55	3	7	13
blip2	55	3	7	15
blip2	55	3	7	16
blip2	55	3	7	18
blip2	56	1	2	16
blip2	56	1	2	18
blip2	56	1	2	19
blip2	56	2	4	6
blip2	56	2	4	17
blip2	56	2	4	18
blip2	56	2	4	19
blip2	56	3	8	16
blip2	56	3	8	18
blip2	56	3	8	20
blip2	56	4	10	12
blip2	56	4	10	17
blip2	56	4	10	18
blip2	56	4	10	20
blip2	56	5	13	14
blip2	56	5	13	16
blip2	56	5	13	18
blip2	56	5	13	19
blip2	57	2	10	11
blip2	57	3	10	11
blip2	58	1	1	2
blip2	58	1	1	3
blip2	58	1	1	13
blip2	58	1	1	15
blip2	58	1	1	16
blip2	58	1	1	17
blip2	58	1	1	18
blip2	58	1	1	20
blip2	58	2	4	5
blip2	58	2	4	6
blip2	58	2	4	13
blip2	58	2	4	14
blip2	58	2	4	15
blip2	58	2	4	16
blip2	58	2	4	17
blip2	58	2	4	19
blip2	58	3	7	8
blip2	58	3	7	9
blip2	58	3	7	13
blip2	58	3	7	14
blip2	58	3	7	15
blip2	58	3	7	16
blip2	58	3	7	17
blip2	58	3	7	19
blip2	58	4	11	12
blip2	58	4	11	13
blip2	58	4	11	15
blip2	58	4	11	16
blip2	58	4	11	17
blip2	58	4	11	18
blip2	58	4	11	20
blip2	59	1	1	7
blip2	59	1	1	8
blip2	59	1	1	9
blip2	59	1	1	11
blip2	59	1	1	12
blip2	59	1	1	13
blip2	59	1	1	14
blip2	59	1	1	16
blip2	59	2	4	7
blip2	59	2	4	8
blip2	59	2	4	9
blip2	59	2	4	11
blip2	59	2	4	12
blip2	59	2	4	13
blip2	59	2	4	14
blip2	59	2	4	16
blip2	60	1	1	3
blip2	60	1	1	7
blip2	60	1	1	8
blip2	60	1	1	10
blip2	60	1	1	13
blip2	60	1	1	15
blip2	60	2	4	5
blip2	60	2	4	6
blip2	60	2	4	7
blip2	60	2	4	8
blip2	60	2	4	10
blip2	60	2	4	13
blip2	60	2	4	15
blip2	61	1	1	2
blip2	61	1	1	7
blip2	61	1	1	8
blip2	61	1	1	10
blip2	61	1	1	11
blip2	61	1	1	13
blip2	61	1	1	15
blip2	61	1	1	16
blip2	61	2	5	6
blip2	61	2	5	7
blip2	61	2	5	8
blip2	61	2	5	10
blip2	61	2	5	11
blip2	61	2	5	13
blip2	61	2	5	15
blip2	61	2	5	16
blip2	62	1	1	3
blip2	62	1	1	4
blip2	62	1	1	5
blip2	62	1	1	6
blip2	62	1	1	8
blip2	62	2	2	3
blip2	62	2	2	4
blip2	62	2	2	5
blip2	62	2	2	6
blip2	62	2	2	7
blip2	62	2	2	8
blip2	62	3	1	3
blip2	62	3	1	4
blip2	62	3	1	5
blip2	62	3	1	6
blip2	62	3	1	8
blip2	62	4	2	3
blip2	62	4	2	4
blip2	62	4	2	5
blip2	62	4	2	6
blip2	62	4	2	7
blip2	62	4	2	8
blip2	63	1	1	7
blip2	63	1	1	8
blip2	63	1	1	9
blip2	63	1	1	10
blip2	63	1	1	11
blip2	63	1	1	12
blip2	63	1	1	13
blip2	63	1	1	14
blip2	63	1	1	15
blip2	63	1	1	16
