sample_id	image_id	t_star	tail_errors	first_gap	model
62	1	3	0	1	llava
62	2	3	0	1	llava
62	3	3	0	1	llava
62	4	3	0	1	llava
63	1	9	5	1	llava
63	2	9	5	1	llava
64	2	3	0	3	llava
64	3	2	0	2	llava
64	4	2	0	2	llava
64	5	3	0	3	llava
65	1	3	1	4	llava
65	2	7	0	0	llava
66	1	1	1	1	llava
66	2	1	2	2	llava
66	3	3	2	1	llava
66	4	1	1	2	llava
66	5	4	1	1	llava
67	1	2	5	1	llava
67	2	6	4	1	llava
68	1	6	8	1	llava
68	2	6	8	1	llava
69	1	5	2	1	llava
69	2	5	2	1	llava
70	1	1	8	4	llava
70	2	4	8	1	llava
71	1	1	4	1	llava
71	2	8	3	1	llava
72	1	9	5	1	llava
72	2	9	5	1	llava
73	1	1	3	1	llava
73	2	1	3	1	llava
73	3	1	3	1	llava
73	4	1	3	1	llava
74	1	16	1	1	llava
74	2	4	2	1	llava
74	3	16	2	1	llava
74	4	11	1	1	llava
74	5	15	1	2	llava
75	1	7	3	1	llava
75	2	7	3	1	llava
76	1	2	7	1	llava
76	2	12	5	1	llava
76	3	6	5	1	llava
76	4	9	7	1	llava
77	1	10	1	1	llava
77	2	10	1	1	llava
77	3	7	3	1	llava
78	1	7	5	1	llava
78	2	4	7	1	llava
79	1	2	4	1	llava
79	2	15	2	1	llava
79	3	14	2	3	llava
79	4	12	5	1	llava
80	1	1	3	1	llava
80	2	1	3	1	llava
80	3	1	3	1	llava
81	1	14	1	2	llava
81	2	14	2	2	llava
81	3	5	0	1	llava
81	4	16	0	3	llava
81	5	14	1	3	llava
82	1	2	3	1	llava
82	2	4	1	1	llava
82	3	2	4	1	llava
82	4	3	1	1	llava
83	1	1	3	1	llava
83	2	1	3	1	llava
83	3	1	3	1	llava
84	1	1	6	1	llava
84	2	1	6	1	llava
85	1	2	7	1	llava
85	2	11	4	2	llava
85	3	7	6	1	llava
85	4	11	2	1	llava
86	1	10	5	1	llava
86	2	4	6	1	llava
86	3	8	6	1	llava
87	1	2	3	1	llava
87	2	2	3	1	llava
87	3	2	3	1	llava
88	1	18	0	0	llava
88	2	17	1	3	llava
88	3	16	1	3	llava
88	4	10	3	1	llava
88	5	13	5	1	llava
89	1	1	7	1	llava
89	2	1	7	1	llava
90	1	1	2	1	llava
90	2	13	3	2	llava
90	3	7	2	1	llava
90	4	14	2	1	llava
91	1	13	2	1	llava
91	2	13	4	1	llava
91	3	13	3	1	llava
91	4	13	5	1	llava
92	1	1	2	1	llava
92	2	7	0	1	llava
93	1	11	1	1	llava
93	2	11	1	1	llava
94	1	2	5	1	llava
94	2	6	4	1	llava
95	1	2	1	1	llava
95	2	9	0	1	llava
96	1	1	7	1	llava
96	2	4	7	1	llava
97	1	3	4	4	llava
97	2	10	3	1	llava
98	1	3	6	4	llava
98	2	5	7	1	llava
99	1	10	5	1	llava
99	2	10	5	1	llava
99	3	10	5	1	llava
100	1	1	7	1	llava
100	2	1	6	1	llava
100	3	1	9	1	llava
100	4	1	6	1	llava
100	5	1	8	1	llava
100	6	1	5	1	llava
100	7	1	2	1	llava
100	8	9	0	0	llava
100	9	11	5	1	llava
101	3	4	0	4	llava
101	4	4	0	1	llava
101	7	4	0	1	llava
101	8	4	1	3	llava
101	9	4	0	3	llava
101	10	4	0	2	llava
101	11	4	1	2	llava
102	1	5	2	1	llava
102	2	1	0	2	llava
102	3	1	3	2	llava
102	5	1	3	1	llava
102	6	1	0	2	llava
102	7	1	3	2	llava
102	8	1	3	2	llava
102	9	1	1	1	llava
103	1	1	1	1	llava
103	2	1	2	2	llava
103	3	1	9	3	llava
103	4	1	0	0	llava
103	5	1	2	5	llava
103	6	2	7	7	llava
103	7	9	8	1	llava
103	8	6	0	14	llava
103	9	6	6	1	llava
103	10	12	3	3	llava
104	1	5	0	0	llava
104	2	2	0	0	llava
104	3	4	2	1	llava
104	4	4	1	1	llava
104	5	5	4	1	llava
104	6	5	4	2	llava
104	7	2	1	3	llava
104	8	7	2	4	llava
104	9	12	0	0	llava
104	10	7	2	4	llava
104	11	12	0	0	llava
105	1	10	1	1	llava
105	3	8	1	2	llava
105	4	7	1	4	llava
105	6	3	2	2	llava
105	7	5	2	2	llava
105	8	8	0	1	llava
105	10	5	0	0	llava
105	11	3	3	3	llava
106	1	11	0	0	llava
106	6	11	0	0	llava
106	7	11	0	0	llava
106	8	2	3	1	llava
106	9	2	2	3	llava
106	10	3	2	3	llava
107	1	1	3	1	llava
107	2	1	1	10	llava
107	3	1	2	9	llava
107	4	1	1	4	llava
107	5	1	3	7	llava
107	6	2	2	2	llava
107	7	2	3	1	llava
107	8	2	2	1	llava
107	9	11	0	0	llava
107	10	10	0	0	llava
107	11	11	0	0	llava
108	1	3	6	1	llava
108	2	2	3	1	llava
108	3	3	2	1	llava
108	4	2	6	1	llava
108	5	3	5	1	llava
108	6	5	3	1	llava
108	7	3	5	1	llava
108	8	2	6	3	llava
108	9	3	0	1	llava
108	10	5	3	1	llava
108	11	13	0	0	llava
108	12	13	0	0	llava
108	13	14	0	0	llava
108	14	13	0	0	llava
108	15	15	0	0	llava
108	17	17	0	0	llava
108	18	17	0	0	llava
109	1	1	3	3	llava
109	2	1	1	1	llava
109	3	1	1	11	llava
109	4	4	0	2	llava
109	5	3	3	2	llava
109	6	2	1	1	llava
109	7	16	0	0	llava
109	8	14	0	1	llava
109	9	14	0	1	llava
109	10	2	5	2	llava
109	11	7	3	1	llava
109	12	9	3	2	llava
109	13	7	2	3	llava
109	14	14	1	1	llava
109	15	14	0	1	llava
109	16	16	0	0	llava
109	17	17	0	0	llava
109	19	19	0	0	llava
109	20	19	0	0	llava
0	2	8	0	3	qwen
0	5	8	0	3	qwen
1	1	4	1	2	qwen
1	2	4	2	1	qwen
1	3	4	1	1	qwen
1	4	4	2	2	qwen
2	1	11	0	1	qwen
2	2	11	0	1	qwen
2	3	11	0	1	qwen
3	1	2	3	1	qwen
3	2	14	1	2	qwen
3	3	8	3	1	qwen
3	4	12	1	1	qwen
4	1	8	3	1	qwen
4	2	8	3	1	qwen
5	1	3	5	4	qwen
5	2	7	4	1	qwen
6	1	3	8	4	qwen
6	2	7	7	1	qwen
7	1	7	5	1	qwen
7	2	6	6	1	qwen
8	1	13	2	2	qwen
8	2	14	2	1	qwen
8	3	14	1	2	qwen
8	4	13	3	2	qwen
9	1	7	1	1	qwen
9	2	7	1	1	qwen
10	1	12	1	1	qwen
10	2	12	1	1	qwen
11	1	2	5	1	qwen
11	2	7	4	1	qwen
12	1	7	6	1	qwen
12	2	5	7	1	qwen
13	1	14	3	1	qwen
13	2	18	0	0	qwen
13	3	13	1	3	qwen
13	4	13	3	1	qwen
14	1	4	5	1	qwen
14	2	4	5	1	qwen
15	1	1	3	1	qwen
15	2	14	0	3	qwen
15	3	7	5	1	qwen
15	4	10	5	1	qwen
16	1	9	3	1	qwen
16	2	9	3	1	qwen
17	1	7	4	1	qwen
17	2	7	4	1	qwen
18	1	2	6	1	qwen
18	2	4	5	1	qwen
18	3	10	4	1	qwen
19	1	1	3	1	qwen
19	2	1	3	1	qwen
20	1	3	8	7	qwen
20	2	5	7	1	qwen
20	3	10	7	1	qwen
21	1	7	6	1	qwen
21	2	7	6	1	qwen
22	1	1	7	1	qwen
22	2	7	6	1	qwen
23	1	10	6	1	qwen
23	2	10	6	1	qwen
23	3	10	6	1	qwen
24	1	1	5	1	qwen
24	2	1	5	1	qwen
25	3	6	0	1	qwen
26	1	7	6	1	qwen
26	2	7	6	1	qwen
26	3	7	6	1	qwen
27	1	2	9	1	qwen
27	2	7	8	1	qwen
28	1	16	1	4	qwen
28	2	6	1	11	qwen
28	3	16	0	2	qwen
28	4	17	0	1	qwen
28	5	17	1	2	qwen
29	1	1	1	1	qwen
29	2	1	1	1	qwen
30	1	1	2	1	qwen
30	2	4	1	4	qwen
30	3	8	1	1	qwen
31	1	13	1	3	qwen
31	2	14	0	0	qwen
31	3	4	2	1	qwen
31	4	15	0	2	qwen
31	5	11	4	1	qwen
32	1	16	1	3	qwen
32	2	5	2	1	qwen
32	3	17	1	2	qwen
32	4	17	0	3	qwen
32	5	16	1	3	qwen
33	1	13	4	1	qwen
33	2	13	4	2	qwen
33	3	13	3	2	qwen
33	4	10	6	1	qwen
34	1	1	7	1	qwen
34	2	1	7	1	qwen
35	1	6	9	1	qwen
35	2	6	9	1	qwen
36	1	1	5	1	qwen
36	2	1	5	1	qwen
37	1	14	1	1	qwen
37	2	14	0	2	qwen
37	3	5	1	1	qwen
37	4	14	0	2	qwen
37	5	19	0	1	qwen
38	1	1	4	1	qwen
38	2	1	4	1	qwen
39	1	3	1	14	qwen
39	2	4	2	1	qwen
39	3	16	1	1	qwen
39	4	16	1	3	qwen
39	5	13	1	1	qwen
40	1	18	0	0	qwen
40	2	15	1	2	qwen
40	3	15	1	3	qwen
40	4	15	2	1	qwen
40	5	15	1	2	qwen
41	1	7	7	1	qwen
41	2	7	7	1	qwen
42	1	5	12	1	qwen
42	2	5	12	1	qwen
43	1	10	2	1	qwen
43	2	4	3	1	qwen
44	1	2	6	1	qwen
44	2	2	6	1	qwen
44	3	2	6	1	qwen
45	1	13	0	0	qwen
45	2	13	0	0	qwen
45	3	13	0	0	qwen
45	4	13	0	0	qwen
46	1	1	3	1	qwen
46	2	1	3	1	qwen
46	3	1	3	1	qwen
46	4	1	3	1	qwen
47	1	1	1	1	qwen
47	2	9	0	1	qwen
48	1	10	6	1	qwen
48	2	10	6	1	qwen
48	3	10	6	1	qwen
49	1	13	3	1	qwen
49	2	13	1	1	qwen
49	3	13	2	2	qwen
49	4	11	2	1	qwen
50	1	1	3	1	qwen
50	2	1	3	1	qwen
51	1	7	5	1	qwen
51	2	5	6	1	qwen
52	1	2	9	1	qwen
52	2	5	8	1	qwen
53	1	2	1	1	qwen
53	2	2	1	1	qwen
54	1	7	5	1	qwen
54	2	7	5	1	qwen
55	1	2	5	1	qwen
55	2	6	5	4	qwen
55	3	10	4	1	qwen
57	1	3	1	9	qwen
57	2	10	1	1	qwen
57	3	10	1	1	qwen
58	1	1	3	1	qwen
58	2	6	3	7	qwen
58	3	7	4	1	qwen
58	4	13	1	2	qwen
59	1	8	2	1	qwen
59	2	4	3	1	qwen
60	1	7	1	1	qwen
60	2	7	1	1	qwen
61	1	1	5	1	qwen
61	2	6	4	1	qwen
62	1	3	1	1	qwen
62	2	2	2	1	qwen
62	3	3	1	1	qwen
62	4	2	2	1	qwen
63	1	7	5	1	qwen
63	2	7	5	1	qwen
64	1	7	0	0	qwen
64	3	2	0	2	qwen
64	4	2	0	2	qwen
64	5	7	0	0	qwen
65	1	7	0	0	qwen
65	2	7	0	0	qwen
66	1	1	0	1	qwen
66	2	1	2	2	qwen
66	3	3	0	1	qwen
66	4	1	2	2	qwen
66	5	9	0	1	qwen
67	1	6	2	1	qwen
67	2	4	3	1	qwen
68	1	6	3	1	qwen
68	2	4	4	1	qwen
69	1	2	3	1	qwen
69	2	2	3	1	qwen
70	1	5	7	1	qwen
70	2	5	7	1	qwen
71	1	7	5	1	qwen
71	2	6	6	1	qwen
72	1	7	5	1	qwen
72	2	4	7	1	qwen
73	1	1	2	1	qwen
73	2	1	2	1	qwen
73	3	1	2	1	qwen
73	4	1	2	1	qwen
74	1	16	3	1	qwen
74	2	16	1	4	qwen
74	3	16	2	1	qwen
74	4	19	1	1	qwen
74	5	17	2	1	qwen
75	1	2	4	1	qwen
75	2	7	3	1	qwen
76	1	3	6	9	qwen
76	2	12	4	1	qwen
76	3	12	4	2	qwen
76	4	12	5	1	qwen
77	1	10	1	1	qwen
77	2	10	1	1	qwen
77	3	10	1	1	qwen
78	1	14	1	1	qwen
78	2	5	1	1	qwen
79	1	14	3	1	qwen
79	2	4	3	1	qwen
79	3	14	2	3	qwen
79	4	14	4	1	qwen
80	1	3	0	1	qwen
80	2	3	0	1	qwen
80	3	3	0	1	qwen
81	1	14	0	2	qwen
81	2	14	1	2	qwen
81	5	11	2	1	qwen
82	1	2	2	1	qwen
82	2	1	2	3	qwen
82	3	2	3	1	qwen
82	4	1	3	2	qwen
83	1	1	2	1	qwen
83	2	1	2	1	qwen
83	3	1	2	1	qwen
84	1	1	4	1	qwen
84	2	1	4	1	qwen
85	1	11	6	1	qwen
85	2	11	3	2	qwen
85	3	11	4	1	qwen
85	4	11	3	1	qwen
86	1	10	2	1	qwen
86	2	10	2	1	qwen
86	3	8	3	1	qwen
87	1	3	2	1	qwen
87	2	3	2	1	qwen
87	3	3	1	2	qwen
88	1	18	0	0	qwen
88	2	17	0	3	qwen
88	3	16	1	3	qwen
88	4	16	1	1	qwen
88	5	14	3	1	qwen
89	1	1	5	1	qwen
89	2	1	5	1	qwen
90	1	1	3	1	qwen
90	2	13	2	2	qwen
90	3	16	1	1	qwen
90	4	15	1	3	qwen
91	1	2	3	1	qwen
91	2	13	4	1	qwen
91	3	13	3	1	qwen
91	4	13	5	1	qwen
92	1	10	2	1	qwen
92	2	10	2	1	qwen
93	1	7	3	1	qwen
93	2	7	3	1	qwen
94	1	2	5	1	qwen
94	2	6	4	1	qwen
95	1	9	2	1	qwen
95	2	9	2	1	qwen
96	1	2	5	1	qwen
96	2	7	4	1	qwen
97	1	9	5	1	qwen
97	2	9	5	1	qwen
98	1	1	6	1	qwen
98	2	5	5	1	qwen
99	1	10	5	1	qwen
99	2	10	5	1	qwen
99	3	10	5	1	qwen
100	1	1	5	1	qwen
100	2	1	1	1	qwen
100	3	1	5	1	qwen
100	4	1	5	1	qwen
100	5	1	5	1	qwen
100	6	1	3	1	qwen
100	7	1	1	1	qwen
100	9	11	5	1	qwen
101	3	4	0	4	qwen
101	4	4	1	1	qwen
101	7	4	1	1	qwen
101	8	4	0	3	qwen
101	9	4	0	3	qwen
101	10	4	0	2	qwen
101	11	4	0	2	qwen
102	1	5	4	1	qwen
102	2	3	0	0	qwen
102	3	3	3	2	qwen
102	5	2	4	2	qwen
102	6	3	0	6	qwen
102	7	3	3	2	qwen
102	8	3	3	2	qwen
102	9	2	2	6	qwen
103	1	1	1	1	qwen
103	2	1	2	2	qwen
103	3	1	8	3	qwen
103	4	1	0	0	qwen
103	5	1	1	5	qwen
103	6	2	7	7	qwen
103	7	9	6	1	qwen
103	8	6	0	14	qwen
103	9	6	5	1	qwen
103	10	15	2	1	qwen
104	1	3	1	2	qwen
104	3	4	2	1	qwen
104	4	4	2	1	qwen
104	5	5	3	1	qwen
104	6	3	4	2	qwen
104	7	5	0	0	qwen
104	8	7	1	4	qwen
104	9	12	0	0	qwen
104	10	7	1	4	qwen
104	11	12	0	0	qwen
105	1	10	1	1	qwen
105	3	8	1	2	qwen
105	4	7	1	4	qwen
105	6	3	2	2	qwen
105	7	5	2	2	qwen
105	8	8	0	1	qwen
105	10	5	0	0	qwen
105	11	3	3	3	qwen
106	1	6	0	5	qwen
106	8	8	0	1	qwen
106	10	6	1	2	qwen
107	1	1	3	1	qwen
107	2	1	1	10	qwen
107	3	1	2	9	qwen
107	4	1	1	4	qwen
107	5	1	3	7	qwen
107	6	2	2	2	qwen
107	7	2	3	1	qwen
107	8	2	2	1	qwen
107	9	11	0	0	qwen
107	10	10	0	0	qwen
107	11	11	0	0	qwen
108	1	3	6	1	qwen
108	2	2	4	1	qwen
108	3	3	3	1	qwen
108	4	2	6	1	qwen
108	5	3	5	1	qwen
108	6	5	2	1	qwen
108	7	3	5	1	qwen
108	8	2	5	3	qwen
108	9	3	1	1	qwen
108	10	5	2	1	qwen
108	11	13	0	0	qwen
108	12	13	0	0	qwen
108	13	14	0	0	qwen
108	14	13	0	0	qwen
108	15	15	0	0	qwen
108	17	17	0	0	qwen
108	18	17	0	0	qwen
109	1	1	4	3	qwen
109	2	1	1	1	qwen
109	3	1	2	11	qwen
109	4	4	1	2	qwen
109	5	3	6	2	qwen
109	6	2	1	1	qwen
109	8	14	1	1	qwen
109	9	14	1	1	qwen
109	10	2	5	2	qwen
109	11	5	2	2	qwen
109	12	11	1	1	qwen
109	13	10	1	2	qwen
109	14	14	1	1	qwen
109	15	14	1	1	qwen
109	17	17	0	0	qwen
109	19	19	0	0	qwen
109	20	19	0	0	qwen
